SENTENCES,Golden
He put forward No Child Left Behind.,1
"And we have to tackle the plague of gun violence, which is a big contributor to a lot of the problems that we're seeing today.",0
"There's funds for 3,000 new schools created by teachers and parents, sometimes by business people, called charter schools that have no rules, they're free of bureaucracy and can only stay in existence if they perform and teach children.",1
This is something that Senator Kennedy and all Americans must know.,0
"Indeed, we had to borrow $17 billion to pay the checks.",1
"One thing I think Americans should be proud of, when Tunisians began to protest, this nation -- me, my administration -- stood with them earlier than just about any country.",1
"We are going to be choosing a president who will set policy for not just four or eight years, but because of some of the important decisions we have to make here at home and around the world, from the Supreme Court to energy and so much else, and so there is a lot at stake.",0
"On foreign affairs, some think it's irrelevant.",0
"All they have to do is sit back 10 years, and they don't have to do much.",0
It is important because the next president is going to appoint three and maybe even four justices of the Supreme Court.,0
"I will keep us strong, but you'll not do that unless you command that budget and make certain we get the strength that we need.",0
"Let's take advantage of the energy resources we have, as well as the energy sources for the future.",0
I've got the scars to prove it.,0
He had 16 other resolutions and nothing took place.,1
"You know, back in the 1970s, I worked for the Children's Defense Fund.",0
"We're working right now in trying to be of help in southern Africa with regard to the independence of Namibia and the removal of the Cuban surrogates, the thousands of them, from Angola.",1
"You know, last year up to this time, we've lost 700,000 jobs in America.",1
And that kind of credibility is precisely why we've been able to show leadership on a wide range of issues facing the world right now.,0
"Also, making sure that we have a new electricity grid to get the alternative energy to population centers that are using them.",0
"It's happening in other states that we visit, too.",0
"And then 5 days before the troops were killed, they went back to the President, through the Secretary of Defense, and said, ""Please, Mr. President, take those troops out of there because we can't defend them.''",1
And I intend to get it done.,0
This election is about two different visions about how we should go into the 21st Century.,0
"Let me -- I'm not exactly sure what you mean, ""passes the global test,"" you take preemptive action if you pass a global test.",0
"Unfortunately, almost 300 brave young Marines were killed.",1
They surely don't let me do that.,0
"but after a decade of war, I think we all recognize we've got to do some nation building here at home, rebuilding our roads, our bridges and especially caring for our Veterans who sacrificed so much for our freedom.",0
How do we prevent attacks?,0
"My opponent says help is on the way, but what kind of message does it say to our troops in harm's way, ""wrong war, wrong place, wrong time""?",0
I'm going to rebuild our military power.,0
It's been there for 20 years.,0
I have no businesses there.,1
Do we remove dams that produce hydroelectric energy?,0
There are no nuclear missiles pointed at the children of the United States tonight and have not been in our administration for the first time since the dawn of the nuclear age.,1
"But the idea of taxing people more, putting more people out of work, you'll never get there.",0
"Well, where are the papers?",0
"When you get on an airplane, your bag is X- rayed, but the cargo hold isn't X-rayed.",0
Let me first tell you that the best way for Iraq to be safe and secure is for Iraqi citizens to be trained to do the job.,0
"If you put 50 tons of TNT in each one of railroad cars, you would have a carload of TNT - a trainload of TNT stretching across this nation.",1
You can also use those accounts for health care or education or a first home.,1
