SENTENCES,Golden
And so I know that this campaign has caused some questioning and worries on the part of many leaders across the globe.,0
"Now, let's balance the budget and protect Medicare, Medicaid, education and the environment.",0
I'd like to mention one thing.,0
I must remind him the Democrats have controlled the Congress for the last twenty-two years and they wrote all the tax bills.,1
"And to take a chance uh - now be - and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake.",0
"Well, what he is saying there in effect, we're going to have inflation.",0
I'm proud of the fact that violent crime is down in the State of Texas.,1
"You know, you may have seen your health care premiums go up.",0
"If we're $4 trillion down, we should have everything perfect, but we don't.",1
And I made some tough decisions.,0
"I served for eight years in the House of Representatives and I served on the Intelligence Committee, specialized in looking at arms control.",1
"I think -- you know, I'm starting to understand it.",0
"But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e-mails that you deleted, and that you acid washed, and then the two boxes of e-mails and other things last week that were taken from an office and are now missing.",1
There won't be 10 millionaires and 14 lawyers in the cabinet.,0
His experience has been different from mine.,0
And we better be awfully careful.,0
"That's what we need more of, Candy.",0
"And if it's rape, how do you draw moral judgments on that?",0
And many of the public schools are meeting the call.,1
"But when it comes to economic policies, essentially what you're proposing is eight more years of the same thing.",0
"And that means 98 percent of American families, 97 percent of small businesses, they will not see a tax increase.",1
"So these are the ways that we can restore the strength of our country, and they don't require long experience in foreign policy.",0
"And, finally, Medicaid to states?",0
"What is more moral than peace, and the United States is at peace today?",0
They concluded that my plan would cover everybody and his would leave 27 million behind by the year 2000 and that my plan in the next 12 years would save $2.2 trillion in public and private money to reinvest in this economy and the average family would save $1200 a year under the plan that I offered without any erosion in the quality of health care,1
What I will do is permit people to buy into Medicaid.,0
"Because we've had tough aggressive trade policies, and because we've got interest rates down.",1
"On the 2nd debate, I offered, since both sides want the enterprise zones and we can't get together, I said I'll take a few days off and go to Washington and hold hands with you and we'll get it done.",1
Now we will probably need to increase that to same extent.,0
"But I do make a pledge that in the next ten days when we're asking the American people to make one of the most important decisions in their lifetime, because I think this election is one of the mast vital in the history of America, that uh - we do together what we can to stimulate voter participation.",0
They're the ones who have the challenges and they are people out there making predictions that it's not going to be the same.,0
"I really can't believe Mr. Bush is still trying to make trust an issue after ""read my lips"" and 15 million new jobs and embracing what he called voodoo economics and embracing an export enhancement program for farmers he threatened to veto and going all around the country giving out money in programs that he once opposed.",1
One of the additional powers that I would suggest would be seizure.,0
"This is going to take fair, shared sacrifice.",0
"And for that to happen, we have to strengthen our economy here at home.",0
"And, as a matter of fact, it just so happens that in the quirks of administering these taxes, those above $50,000 actually did not get quite as big a tax cut percentage-wise as did those from 50,000 down.",1
"We've had enough of that, ladies and gentlemen.",0
"Well, Mr. Ford is - is uh changing uh considerably his previous philosophy.",1
You do a lot of things nobody knows about.,0
That's why I brought the leaders to Washington a few days ago.,0
It called for an increase in the production of energy in the United States.,1
"And I do, both for corporations and for individuals.",0
If we do those things we will build that bridge to the 21st Century and the greatest country in history will be even greater.,0
I've been critical of this Administration and I've been critical of the President.,0
"Now, as long as we put up with that, that's what you're going to get.",0
"I'm not going to wear rose-colored glasses when it comes to Russia, or Mr. Putin.",0
We are the one that worked out the prison labor deal.,1
That's the country that I'm going to fight for.,0
"Show us if they are learning to read, write, add and subtract and if so there will be bonus plans.",0
"Sure, you can do that with Congress.",0
We've got to treat it as international crime.,0
"Yes, I think we need more troops.",0
"And like John McCain, I have learned from experience, and it's not a new position for me.",0
I have suggested that the president should be given other weapons to protect the national interest in case of national emergency strikes beyond the injunction provision of the Taft-Hartley Act.,1
And we know what happened.,0
"I know the oil companies have been itching to do that, but it is not the right thing for the future.",0
"Well, I must have been living through a different eight years then the ones the vice president's been living through, because this administration has cut and slashed and cut and slashed programs for children, for nutrition, for the kinds of things that can help these youngsters to live better lives.",1
What I've said is I won't put in place a tax cut that adds to the deficit.,0
"Now, what I am also arguing is that bringing undocumented immigrants out from the shadows, putting them into the formal economy will be good, because then employers can't exploit them and undercut Americans' wages.",0
Neighborhoods are safer when we crack down on people who commit crimes with guns.,0
"Look, I am a job creator, not a job destroyer.",0
"Look, the problem is that under Governor Bush's plan, $1.6 trillion tax cut, mostly to the wealthy, under his own budget numbers, he proposes spending more money for a tax cut just for the wealthiest 1% than all the new money he budgets for education, health care and national defense combined.",1
"I think first of all, let me -- let me repeat -- let me repeat what I said.",0
"When you come out in 2014, I presume I'm going to be president.",0
"It's not my term, it's the president's own Secretary of Defense, called them devastating.",1
"The US came together as we haven't in many, many years.",0
"Our funding for recovery is up, recovering the addicts.",1
I think they saw weakness where they had expected to find American strength.,0
"Now, that is not the judgment that a president of the United States ought to make.",0
"I love the fact that people will listen to a guy with a bad accent and a poor presentation manner talking about flip charts for 30 minutes, because they want the details.",0
"Tom, wave like that and I'll look at you.",0
I'm interested in working with our nations and do a lot of it.,0
"The platform to which the President refers, in fact, calls for a religious test in the selection of judges.",0
"Now, it's fine to say that sometimes you have to hit base camps, but when the president saw this state sponsored-fingerprints of Muammar Khadaffi on the loss of American life, he hit Libya.",1
We need to say we each need to be responsible for what we do.,0
Your future benefits would be cut by the amount that's diverted into the stock market.,1
And so I'll just be asking for support to get that put into effect.,0
And we're in real trouble on that.,0
I believe he will go.,0
"Third thing I think we need is more forums like this, which is one of the reasons I have so strongly supported campaign finance reform.",0
And he defined that as someone who uses beans in place of meat.,0
"But when I was in that little church across the river from Washington and saw our grandchild christened in our faith, I was very pleased indeed that the mother had not aborted that child, and put the child up for adoption.",0
There are 9 countries that spend more than we do on public education.,1
"As we have seen tonight, foreign policy and defense policy are difficult and complex issues.",0
Maybe you think that makes sense.,0
We're continuing to increase manpower and equipment.,1
Some of them have been Democrats and some of them have been Republicans.,0
And this is what the Republicans have done to us.,0
I want to develop the coal resources in America.,0
So any -- any language to the contrary is simply not accurate.,0
"I know we're not going to achieve our objective if we send mixed signals to our troops, our friends, the Iraqi citizens.",0
And I also think it's very important to go to the next stage of welfare reform.,0
"You look at the Middle East, it's a total mess.",0
We're going to block grant into Medicaid into the states...,0
"First of all, I think it is well to put in perspective where we really do stand with regard to the Soviet Union in this whole matter of growth.",0
"Well, mathematically, there are three ways that you can cut a deficit.",0
"We have a gentleman down in Nicaragua who is on contract to the CIA, advising -- supposedly on military tactics -- the contras.",1
But this administration time and time again has lost its way in this field.,0
And I'm glad we're going in the right direction.,0
"And we are helping democracy, Ross.",0
And it's great to be with you again.,0
That's one of the problems with this administration's so-called shuttle diplomacy.,0
"I think good will on both parts, hard bargaining by both parties and a reasonable compromise will be in the best interests of all parties.",0
"And incidentally, an excellent -- I mean, I think our success over the last eight years has not been in spite of diversity but because of it.",0
"Whenever you get a large rally of 10,000, 15,000, 20,000 people, you're going to have some fringe peoples.",0
There's some question about their morality.,0
"Let me come back in one moment to that, but I want to speak for a second, if I can, to what the president said about fiscal responsibility.",0
Everybody says it'll create jobs.,0
"It's not being taken away from anybody else, except we'll downsize the Department of Education.",0
"In every one of these instances, the Ford administration has failed, and I hope tonight that I and Mr. Ford will have a chance to discuss the reasons for those failures.",0
"And recognizing that, I called together a group of our fellow citizens to study the issue.",1
They were just waiting to seize the opportunity.,0
"Now, the question is, can we win?",0
"Like Mr. Perot, I have held crack babies in my arms.",0
The same country that's helping us try to stop the flow of drugs into our country that's killing young Americans.,1
"I'm not going to do that, because I think the jury is still out on the Soviet experiment.",0
What we're going to give you is a 50 percent tax credit to help provide health care for those that you need.,0
Now Governor Carter complains about the deficits that uh - uh - this administration has had.,0
"I want to bring the rates down, at the same time lower deductions and exemptions and credits and so forth, so we keep getting the revenue we need.",0
"Virtually every economic analysis that I've heard of, including the distinguished Congressional Budget Office, which is respected by, I think, almost everyone, says that even with historically high levels of economic growth, we will suffer a $263 billion deficit.",1
"And one of the things he's done is to let loose cyber attackers to hack into government files, to hack into personal files, hack into the Democratic National Committee.",1
It's a part of the Social Security system.,1
"What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've -- if it's been under 90 days.",1
"But the Russians, I think we can deal with them but they've got to understand that they're facing a very firm and determined United States of America that will defend our interests and that of other countries in the world.",0
"I believe I offer tested, strong leadership that can calm the waters of the troubled world.",0
But we all know that we've still got a lot of work to do.,0
But there's no doubt that we're not going to be able to do everything that I think needs to be done.,0
I want a Supreme Court that doesn't always side with corporate interests.,0
One of the reasons I'm such a strong believer in legal reform is so that people aren't afraid of producing a product that is necessary for the health of our citizens and then end up getting sued in a court of law.,0
"I don't know how you vote ""present"" on some of that.",0
"And yet, because of the hard work of the American people and good policies, this economy is growing.",1
"Well, I think we have to go to work on the problem of Third World debt and we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them and which if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future.",0
That has the benefit of making sure our employers aren't breaking the law as they try to fill their workforce needs.,0
The Reagan-Bush administration was right.,0
"So we have -- as we said, if you want to keep doing business and selling your products over here, you're going to have to quit pirating our CDs, and they agreed to do things and verify that they had done it, which will make the problem much better.",1
She has been outsmarted and outplayed worse than anybody I've ever seen in any government whatsoever.,0
"You take a look at what's happening to steel and the cost of steel and China dumping vast amounts of steel all over the United States, which essentially is killing our steelworkers and our steel companies.",1
He's talking about that fantastic plan of the Administration to take thousands and thousands of square miles out in the Western states.,0
I was 19 or 20 flying off an aircraft carrier and that shaped me to be Commander-in-Chief of the armed forces.,0
I just have an honest philosophical difference.,0
"First of all, we all know that in his state of the union message, he told Congress about nuclear materials that didn't exist.",1
We're weak in the world.,0
And I think Congressman Lewis' point was that we have to be careful about how we deal with our supporters.,0
We can lift our schools up.,0
It doesn't uh - make a determination as to how uh - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government.,0
"And finally, we were a party to the convention -- to working with Germany, France and Great Britain to send their foreign ministers into Iran.",1
"Yes, we can be safe and secure, if we stay on the offense against the terrorists and if we spread freedom and liberty around the world.",0
"They look at the fact that we owe 'em a trillion dollars and owe other people $16 trillion in total, including that.",1
"Mr. Reagan, as you saw tonight -- President Reagan takes the position it will disappear by magic.",0
"I'm pledging I will not raise taxes; I'm giving a tax cut to the people earning less than $200,000 a year.",0
"What we need is good, strong leadership going in the next century.",0
"And let me tell you exactly why I think that the choice he made to give a tax cut for the oil companies and others before addressing this -- I mean, if you were the governor of a state that was dead last in health care for families, and all of a sudden you found yourself with the biggest surplus your state had ever had in its history, wouldn't you want to maybe use some of it to climb from 50th to, say, 45 or 40 or something or maybe better?",0
"We can store and reprocess spent nuclear fuel, Senator Obama, no problem.",0
I could do that very quickly.,0
"It's all about the Constitution of -- of -- and so important, the Constitution the way it was meant to be.",0
So I'm going to ask the Congress to pass a teacher protection act.,0
"General Petraeus has just taken over a position of responsibility, where he has the command and will really set the tone for the strategy and tactics that are used.",0
"And the promise of the revolution was democracy, human rights, free labor unions, free press.",1
"I'm a guy who wants to help with the experience I have, the American people.",0
"You've got one parent working for the government, the other parent working for the family.",0
Do you know today that the Com- the Russians broadcast ten times as many programs in Spanish to Latin America as we do?,1
And uh - that would be another factor that I would follow.,0
It will probably happen in the year 2012 or 2015.,0
"They are great scholars in all cases, and they're people of tremendous respect.",0
"I come out of the Democratic party, which in this century has produced Woodrow Wilson and Franklin Roosevelt and Harry Truman, and which supported and sustained these programs which I've discussed tonight.",0
I apologize for it but that one got right to the national honor and I'm sorry.,0
"It had 26 separate maps they had to sign, literally thousands of delineations of who would do what on the West Bank, and I believe if the parties will get together and in a good-faith manner make that agreement, that they'll be able to do it if we cannot impose a peace on the Middle East.",0
"First of all, the sequester is not something that I've proposed.",0
"Wherever possible the -- the benefit of having two parents in the home, and that's not always possible.",0
"How do you bring back -- specifically bring back jobs, American manufacturers?",0
Religion has been a huge part of my life.,0
"Americans shouldn't have gone there in the first place, had we let them defend themselves, as they have a right to do under Article 57 of the United Nations charter.",1
I'd say around 30 percent.,0
"We've got to get back to rebuilding the middle class, the families of America.",0
He points to the fact that I visited Cuba while Mr. Batista was in power there.,0
"I believe that -- I believe they've moved that sign, ""The buck stops here"" from the Oval Office desk to ""The buck stops here"" on the Lincoln bedroom.",0
I think we're making progress here.,0
Are we going to double on top-down economic policies that helped to get us into this mess or do we embrace a new economic patriotism that says America does best when the middle class does best?,0
"It's called premium support, but it's understood to be a voucher program.",0
"And what I've also said is for young people who come here, brought here often times by their parents.",0
Two questions: How do you deter nuclear attack without modernizing our nuclear forces when the Soviets are modernizing and how come you spend-willing to spend a dime on something that you consider a fantasy and a fraud.,0
And so the question is how to get them going again.,0
I want to get a better rate of return for your own money than the paltry 2% that the current Social Security Trust gets today.,0
"If you don't have health insurance or you want to buy into a group plan, you will be able to buy into the plan that I just described.",0
We're all focused on China.,0
And I think this will work.,0
That's not the way we cut -- we'll cut out all the pork.,0
But I think that we -- I think we have to start with better parenting.,0
But nobody called Sean Hannity.,1
"Net farm income is off 50 percent in the last 3 years, and every farmer knows it.",1
What message does that send to our allies?,0
"Secondly, my objection to present farm policy is that there are no effective controls to bring supply and demand into better balance.",0
I'm proud that we're better off on that than we were four years ago.,0
We may differ about what the elements of that are.,0
I would like to unite this country to get an agenda done that will speak to the hopes and aspirations of the future.,0
"And when it comes to public ethics, he has a responsibility.",0
We -- we need to have -- we need to have employers reward employees who join health clubs and practice wellness and fitness.,0
A half a million manufacturing jobs have been lost in the last four years.,1
"When we terminated 400,000 desperate, hopeless, defenseless Americans who were on disability -- confused and unable to defend themselves, and just laid them out on the street, as we did for 4 years, I don't think that's what America is all about.",1
"If Iran acquires nuclear weapons, all the other countries will acquire them, too.",0
Most recently out in Aurora.,0
"Can you add five seconds, Bernie, out of fairness?",0
"Because you're going to decide whether we're going to balance the budget now, but protect Medicare, Medicaid, education and the environment.",0
#NAME?,0
But it starts with working in a collaborative effort with states and local folks.,1
