SENTENCES,Golden
"Smh just read an article stating more than half of protesters who got interviewed didn't even vote... lol — boolin (@TheyCallMe_DB) November 17, 2016",1
"@realDonaldTrump just like I saud 70% of the oregon protesters arrested didn't even register to vote — Betty Bastardo (@BastardoBetty) November 17, 2016",1
"NYPD just came to my house bc Rutgers Police told them i’m a threat based on political statements i’ve made on campus and on twitter. — Kevin Allred (@KevinAllred) November 16, 2016",1
"they’ve forced me to now undergo a psychiatric evaluation at the hospital. they brought me by ambulance tho i’m not under arrest technically — Kevin Allred (@KevinAllred) November 16, 2016",1
"Completed analysis of database of 180 million voter registrations. Number of non-citizen votes exceeds 3 million. Consulting legal team. — Gregg Phillips (@JumpVote) November 11, 2016",1
"We have verified more than three million votes cast by non-citizens. We are joining .@TrueTheVote to initiate legal action. #unrigged — Gregg Phillips (@JumpVote) November 13, 2016",1
"#BREAKING Texas allowed to deny birth certificates to US-born kids of undocumented parents!! https://t.co/2Wh1Zbbl4G — Lucid Hurricane™✘ (@LucidHuricane) November 12, 2016",1
"Pepsi-Cola CEO to Trump supporters ""Pepsi doesn't want your business!""  Okay then you won't get mine. #boycottpepsi pic.twitter.com/CrTwpA1cTH— USMC DI (@rbooker1029) November 15, 2016",1
"Pepsi Co. CEO to Trump  supporters: ""We don't want your business"" #BoycottPepsi ? ?? Let's watch stock go down some more ? ⬇️⬇️⬇️ pic.twitter.com/z54pG0xorz— Ex-Dem ? Latina (@terrymendozer) November 15, 2016",1
"Trump won Wisconsin by 27,000 votes. 300,000 voters were turned away by the states strict Voter ID law. There is your “rigged” election. — Dan Arel (@danarel) November 10, 2016",1
"The electoral college is a disaster for a democracy. — Donald J. Trump (@realDonaldTrump) November 7, 2012",1
"BREAKING: Yale Econ 115 professor makes midterm exam optional after students write in expressing shock about presidential election: pic.twitter.com/JQY8GFsQiV — Jon Victor (@jon_victor_) November 9, 2016",1
"Email sent to all PHYS 180 students changes tomorrow’s midterm to “take home,” as result of election @yaledailynews pic.twitter.com/Thv2kmB9UB — Ryan Gittler (@RyanGittler) November 9, 2016",1
"Noam Chomsky called this political moment 6 years ago https://t.co/YOQ2OoAPDH #Trump pic.twitter.com/hhohf2tJ5K — Indy Arts (@IndyArts) November 9, 2016",1
"Four transgender kids committed suicide last night, a fifth has been hospitalized.  Welcome to Trump's America.— Pamela Lytle (@JAG0518) November 9, 2016",1
"They said yall Obama phones cut off in January ????? gotta chill ⚰️? — Andrè//DJ Drizzy ? (@flvshy) November 9, 2016",1
"Lmfao soooooo did those Obama phones really get cut off?? This kid just posted his phone stopped working & he still had 500mins left?☠️? — BLM✨ (@blmmxo_) November 9, 2016",1
"eric trump deleted his violation of new york state law, so here it is for posterity pic.twitter.com/Y0ss1Ew5Wc — noah kulwin (@nkulw) November 8, 2016",1
"Computer scientists have apparently uncovered a covert server linking the Trump Organization to a Russian-based bank. pic.twitter.com/8f8n9xMzUU — Hillary Clinton (@HillaryClinton) November 1, 2016",1
"John Podesta confirms for us that Hillary Clinton ""rarely bathes,"" and emits an ""odor"" that smells like ""boiled cabbage, urine, and farts."" pic.twitter.com/Y9oDesjsIP — Randy Webb (@imlikefinewine) November 1, 2016",1
"10,000 new emails found on Huma Abedin and Anthony Weiner’s computer and phones. They were in a file marked “Life Insurance”. #Corruption — Morgan Brittany (@MorganBrittany4) October 29, 2016",1
"So did Huma steal 10,000 emails and saved it on her comp just in case Clinton targeted her? Hence: “life insurance” — Charlie Kirk (@charliekirk11) October 30, 2016",1
"Police warn if you get these in your trick-or-treat bag, they’re not candy. https://t.co/knBDVIOc48 pic.twitter.com/r3ygkWckjB — AJC (@ajc) October 21, 2015",1
